0,25;0,05;4,9;5,2
0,1;0,1;14,28;14,48
0,45;0;11,4;11,85
0,75;0,85;9,68;11,28
0,4;0,9;11,35;12,65
0,45;1;12,9;14,35
0,95;0,25;14,4;15,6
0,75;0,85;17,4;19
0,25;0,75;17,4;18,4
1;0,6;17,4;19
0,4;0,1;12;12,5
0,4;0,25;11,6;12,25
0,2;0,85;15,7;16,75
0,5;0,8;17,5;18,8
0,45;0,5;9,85;10,8
0,75;0;5,05;5,8
0,1;0,05;7,83;7,98
1;0,25;10,15;11,4
0,75;0,05;11,1;11,9
0,95;0,45;13,8;15,2
0,5;0,1;9,48;10,08
0,1;0;7,65;7,75
0,75;0;10,7;11,45
1;0;13,4;14,4
0,3;1;10,68;11,98
0,95;0,5;11,23;12,68
0,15;0,9;10,45;11,5
0,5;0;9,35;9,85
0,85;0,9;13,7;15,45
0,75;0,6;12,45;13,8
1;0,05;7,78;8,83
0,95;0,9;13,03;14,88
0,1;0;8,4;8,5
0;0;12,33;12,33
0,25;0,9;12,5;13,65
0,05;0,05;6;6,1
0,15;0;9,33;9,48
0,95;0,8;15,7;17,45
0,1;0;11,13;11,23
0,75;0,5;12,4;13,65
1;0,9;14,4;16,3
0,95;0,95;13,5;15,4
1;0,75;14,4;16,15
0,25;0,5;9,25;10
0,95;0,9;14,38;16,23
1;1;17,4;19,4
1;1;15,03;17,03
0,75;0;11,6;12,35
0,25;0,7;12,5;13,45
0,7;0;13,3;14
0,5;0,75;12;13,25
1;0,95;16,8;18,75
0;0,95;16,05;17
0,1;0,75;12,3;13,15
1;0,6;13,5;15,1
0,75;0,05;9,8;10,6
0,75;1;13,5;15,25
0,95;0,95;13,5;15,4
0,05;0,45;14,5;15
0,25;0,05;8,43;8,73
0,5;0,95;14,98;16,43
0,95;1;14,4;16,35
1;0,6;18;19,6
0,95;0,95;15,6;17,5
0,75;0,75;15,1;16,6
1;0,5;15,7;17,2
0,95;0,95;15,8;17,7
1;0,05;9,5;10,55
0,75;0,1;11,58;12,43
0,75;0,6;17,4;18,75
0,1;0;6,6;6,7
0,1;0;5,3;5,4
0,45;0;9,7;10,15
0,4;0;8,4;8,8
0,75;0;16,2;16,95
0,25;0,05;7,5;7,8
0,5;0,5;9,63;10,63
0,05;0;4,03;4,08
0,75;1;15,6;17,35
1;0;14,75;15,75
0,25;0;12;12,25
0;0;12,1;12,1
0,1;0;9,08;9,18
0,05;0;11,33;11,38
0,4;0;8,83;9,23
0,1;0;6,95;7,05
0,1;0;6,7;6,8
0,25;0;6,35;6,6
0,75;0;5,95;6,7
0,1;0;8,6;8,7
0,1;0;11,58;11,68
0,05;0,05;8,7;8,8
0,5;0;6,9;7,4
0,5;0;6,33;6,83
0,4;0;4,95;5,35
0,1;0;6,35;6,45
0,95;0,5;16,2;17,65
1;0;14,3;15,3
0,1;0,5;7,6;8,2
0,35;0,25;5,2;5,8
0,1;0,45;9,6;10,15
0,6;0,6;10,05;11,25
0,75;0;10,6;11,35
0,1;0;8,43;8,53
0,1;0,2;10;10,3
0,1;0,3;11,08;11,48
0,5;0;10,2;10,7
0,1;0,1;11,9;12,1
0,95;0,75;15,6;17,3
0,95;0,75;13,6;15,3
0;0,2;5,2;5,4
1;0;13,55;14,55
0,1;0,05;0,85;1
0;0;1,28;1,28
0,1;0;3,3;3,4
0,5;0,75;15,7;16,95
0,95;0,1;8,58;9,63
0,1;0,1;15,1;15,3
0,05;0;7,3;7,35
0,5;0,2;11,5;12,2
